date,band,venue,public_url,setlist,note
2012-04-20,A Loss for Words,Theatre of Living Arts,,https://www.setlist.fm/setlist/a-loss-for-words/2012/the-theatre-of-living-arts-philadelphia-pa-3bc224ec.html,
2012-03-28,The Devil Wears Prada,Crocodile Rock Cafe,,https://www.setlist.fm/setlist/the-devil-wears-prada/2012/crocodile-rock-cafe-allentown-pa-73dfa6bd.html,
2012-03-28,letlive.,Crocodile Rock Cafe,,https://www.setlist.fm/setlist/letlive/2012/crocodile-rock-cafe-allentown-pa-73de26a5.html,
2012-03-28,Every Time I Die,Crocodile Rock Cafe,,https://www.setlist.fm/setlist/every-time-i-die/2012/crocodile-rock-cafe-allentown-pa-63de269b.html,
2012-03-28,"Oh, Sleeper",Crocodile Rock Cafe,,https://www.setlist.fm/setlist/oh-sleeper/2012/crocodile-rock-cafe-allentown-pa-63de26a7.html,
2011-09-26,Anberlin,The Trocadero,,,
2011-06-01,Johnny Flynn,World Cafe Live,,,
2011-01-31,Anberlin,Chameleon Club,,,
2011-01-31,Kingsfoil,Chameleon Club,,,
2010-09-05,August Burns Red,Revelation Generation,,https://www.setlist.fm/setlist/august-burns-red/2010/revelation-farms-frenchtown-nj-3d5edf3.html,
2010-09-05,The O.C. Supertones,Revelation Generation,,https://www.setlist.fm/setlist/the-oc-supertones/2010/revelation-farms-frenchtown-nj-5bd5d39c.html,
2010-09-05,Anberlin,Revelation Generation,,,
2010-09-05,A Plea For Purging,Revelation Generation,,,
2010-09-05,Emery,Revelation Generation,,,
2010-09-05,I Am Alpha and Omega,Revelation Generation,,,
2010-09-05,Maylene and the Sons of Disaster,Revelation Generation,,,
2010-09-05,MyChildren MyBride,Revelation Generation,,,
2010-09-05,"Oh, Sleeper",Revelation Generation,,,
2010-09-05,Showbread,Revelation Generation,,,
2010-09-05,Sleeping Giant,Revelation Generation,,,
2010-09-05,Texas in July,Revelation Generation,,,
2010-09-05,The Almost,Revelation Generation,,,
2010-09-05,The Crimson Armada,Revelation Generation,,,
2010-09-05,The Devil Wears Prada,Revelation Generation,,https://www.setlist.fm/setlist/the-devil-wears-prada/2010/revelation-farms-frenchtown-nj-5bc19f08.html,
2010-09-05,Impending Doom,Revelation Generation,,,
2010-09-05,Fireflight,Revelation Generation,,https://www.setlist.fm/setlist/fireflight/2010/revelation-farms-frenchtown-nj-13c2a1a5.html,
2010-09-05,The O.C. Supertones,Revelation Generation,,https://www.setlist.fm/setlist/the-oc-supertones/2010/revelation-farms-frenchtown-nj-5bd5d39c.html,
2010-05-13,"Oh, Sleeper",Crocodile Rock Cafe,,,
2010-05-13,Greeley Estates,Crocodile Rock Cafe,,,
2009-12-01,August Burns Red,Crocodile Rock Cafe,,,
2009-12-01,Underoath,Crocodile Rock Cafe,,,
2009-12-01,Emery,Crocodile Rock Cafe,,,
2009-10-10,August Burns Red,Crocodile Rock Cafe,,,
2009-10-10,The Acacia Strain,Crocodile Rock Cafe,,,
2009-10-10,MyChildren MyBride,Crocodile Rock Cafe,,https://www.setlist.fm/setlist/mychildren-mybride/2009/crocodile-rock-cafe-allentown-pa-5bcbe330.html,
2009-09-05,Underoath,Revelation Generation,,,
2009-09-05,Before Their Eyes,Revelation Generation,,,
2009-09-05,And Then There Were None,Revelation Generation,,,
2009-09-05,August Burns Red,Revelation Generation,,,
2009-09-05,Emery,Revelation Generation,,,
2009-09-05,Fireflight,Revelation Generation,,https://www.setlist.fm/setlist/fireflight/2009/revelation-farms-frenchtown-nj-63c56ecf.html,
2009-09-05,Switchfoot,Revelation Generation,,https://www.setlist.fm/setlist/switchfoot/2009/revelation-farms-frenchtown-nj-43952f7b.html,
2009-09-05,Flyleaf,Revelation Generation,,https://www.setlist.fm/setlist/flyleaf/2009/revelation-farms-frenchtown-nj-6bcf9e72.html,
2009-09-05,Haste the Day,Revelation Generation,,,
2009-09-05,Impending Doom,Revelation Generation,,,
2009-09-05,MyChildren MyBride,Revelation Generation,,,
2009-09-05,Norma Jean,Revelation Generation,,,
2009-09-05,The Devil Wears Prada,Revelation Generation,,https://www.setlist.fm/setlist/the-devil-wears-prada/2009/revelation-farms-frenchtown-nj-13c1b1ed.html,
2009-09-05,The Glorious Unseen,Revelation Generation,,,
2009-09-05,A Plea For Purging,Revelation Generation,,,
2009-09-05,I Am Alpha and Omega,Revelation Generation,,,
2009-06-11,No Doubt,Waterfront Music Pavilion,,https://www.setlist.fm/setlist/no-doubt/2009/susquehanna-bank-center-camden-nj-53d60f35.html,
2009-06-11,Paramore,Waterfront Music Pavilion,,https://www.setlist.fm/setlist/paramore/2009/susquehanna-bank-center-camden-nj-43d7977f.html,
2009-04-01,Parkway Drive,Crocodile Rock Cafe,,,
2009-04-01,MyChildren MyBride,Crocodile Rock Cafe,,,
2009-04-01,Stick To Your Guns,Crocodile Rock Cafe,,,
2008-09-02,As I Lay Dying,Revelation Generation,,,
2008-09-02,Flyleaf,Revelation Generation,,https://www.setlist.fm/setlist/flyleaf/2008/revelation-farms-frenchtown-nj-53cbafb5.html,
2008-09-02,August Burns Red,Revelation Generation,,,
2008-09-02,Norma Jean,Revelation Generation,,,
2008-09-02,The Devil Wears Prada,Revelation Generation,,,
2008-09-02,Emery,Revelation Generation,,,
2008-09-02,The Almost,Revelation Generation,,,
2006-09-30,Willie Nelson,Waterfront Music Pavilion,,https://www.setlist.fm/setlist/willie-nelson/2006/tweeter-center-camden-nj-23db88f7.html,
2006-09-30,John Mellencamp,Waterfront Music Pavilion,,https://www.setlist.fm/setlist/john-mellencamp/2006/tweeter-center-camden-nj-7bc72e58.html,
2006-09-30,Neil Young,Waterfront Music Pavilion,,https://www.setlist.fm/setlist/neil-young/2006/tweeter-center-camden-nj-bda39ca.html,
2006-09-30,Dave Matthews,Waterfront Music Pavilion,,https://www.setlist.fm/setlist/dave-matthews/2006/tweeter-center-camden-nj-3d6252f.html,
2006-09-30,Jerry Lee Lewis with Roy Head,Waterfront Music Pavilion,,https://www.setlist.fm/setlist/jerry-lee-lewis/2006/tweeter-center-camden-nj-6bc72e5e.html,
2006-09-30,Los Lonely Boys,Waterfront Music Pavilion,,https://www.setlist.fm/setlist/los-lonely-boys/2006/tweeter-center-camden-nj-7bc72e5c.html,
2006-09-30,Gov't Mule,Waterfront Music Pavilion,,https://www.setlist.fm/setlist/govt-mule/2006/tweeter-center-camden-nj-2bdc20ce.html,
2006-09-30,Steve Earle and Allison Moorer,Waterfront Music Pavilion,,,
2006-09-30,Steel Pulse,Waterfront Music Pavilion,,,
2006-09-30,Shelby Lynne,Waterfront Music Pavilion,,,
2006-09-30,Nitty Gritty Dirt Band,Waterfront Music Pavilion,,,
2006-09-30,Jimmy Sturr & his Orchestra,Waterfront Music Pavilion,,,
2006-09-30,Pauline Reese,Waterfront Music Pavilion,,,
2006-09-30,Danielle Evin,Waterfront Music Pavilion,,,
